ID; NumComplains; hour_id; LCID; RACH_Setup_Completion_Success_Rate_AVG; Total_RRC_Connection_Setup_Success_Ratio_AVG; Total_RRC_Connection_Re_establishment_Success_Ratio_AVG; Radio_Bearer_Success_Ratio_AVG; ERAB_SetupSR_AVG; HO_Success_Ratio_intra_eNB_AVG; Average_CQI_AVG; Radio_Bearer_Drop_Ratio_AVG; Average_Physical_Resource_Block_Usage_UL_AVG; Average_Physical_Resource_Block_Usage_DL_AVG; Complete_RACH_Setup_Success_Rate_AVG; AGG1_blocked_distribution_rate_AVG; AGG2_blocked_distribution_rate_AVG; AGG4_blocked_distribution_rate_AVG; AGG8_blocked_distribution_rate_AVG; ECM_failure_ratio_due_to_Rejection_by_RRM_RAC_AVG; AGG_level_block_Rate_AVG; ERAB_Drop_Ratio_with_UE_Lost_cause_initiated_by_eNB_AVG
61;1;11/20/2015 14:46;63708211;0.9786015;0.997902;0.5755011;0.9988453;0.9987416;0.9908729;9.307218;0.002424953;1.484841;6.646195;0.869044527;0.190433087;0.210263333;0.186776532;0.346420874;0;5.76E-05;5.84E-05
62;1;11/20/2015 14:58;41144213;0.9875159;0.9985701;0.558089;0.9992357;0.9998474;0.982479;10.16815;0.001515815;2.487095;12.67667;0.934007848;0.266633758;0.228461723;0.191678399;0.275411232;0;0.000103632;2.83E-05
63;1;11/20/2015 14:59;11423111;0.9972146;0.9992582;0.4126575;0.9994602;0.9994025;0.9956906;10.29815;0.001175195;2.564677;14.40546;0.855102241;0.265565367;0.224454997;0.205688252;0.216896275;0;0.000163849;5.40E-05
64;1;11/20/2015 15:00;23125111;0.9932351;0.9988106;0.2741752;0.9994662;0.9996713;0.9951717;9.826487;0.001054723;3.312896;19.58476;0.839719085;0.22597338;0.214307049;0.246906293;0.242785369;0;0.000382894;7.18E-05
65;1;11/20/2015 15:01;81451113;0.99132;0.9989176;0.4814273;0.9995405;0.9998;0.9986124;9.473422;0.001176743;1.616796;11.27069;0.916946493;0.176070835;0.199079076;0.203804583;0.405919333;0;0.00013344;3.02E-05
66;1;11/20/2015 15:07;22013112;0.995241;0.9989756;0.3104908;0.999391;0.9994667;0.9909623;8.728513;0.00097727;2.935831;21.13973;0.832895686;0.167134559;0.211146366;0.25818979;0.360028067;0;0.00027535;9.07E-05
67;1;11/20/2015 15:10;334H9132;0.998233;0.9990855;0.3462285;0.9992567;0.9995068;0.9958336;9.990506;0.001813257;1.136846;9.179225;0.843828226;0.20985859;0.22656662;0.245028179;0.24478409;0;0.000155098;0.000143959
68;1;11/20/2015 15:17;24826112;0.9955999;0.998677;0.4448146;0.9991468;0.9996473;0.9927914;9.900661;0.001814876;1.856313;14.01718;0.835553104;0.19476331;0.212935123;0.234445641;0.31122375;0;0.00015011;0.000195803
69;1;11/20/2015 15:18;2361A232;0.9991769;0.995172;0.3132325;0.9970864;0.9984364;0.9229879;10.20595;0.003458504;5.662053;23.63761;0.824196681;0.217546261;0.201140525;0.256929433;0.320182227;0;0.001098403;0.000132542
70;1;11/20/2015 15:23;24295111;0.9910929;0.9987477;0.3363667;0.9990331;0.999655;0.9843299;9.533656;0.001547042;3.24955;22.66765;0.849430284;0.198331345;0.243793866;0.277982511;0.259934139;0;0.000415609;0.000114433
71;1;11/20/2015 15:29;221L0111;0.9721205;0.9979563;0.2722189;0.999173;0.9991615;0.9812991;9.632935;0.001374439;1.306781;12.23826;0.751878789;0.193083652;0.188265545;0.208664621;0.401700644;0;0.000149114;7.60E-05
72;1;11/20/2015 15:41;33041112;0.9963781;0.9986338;0.3494343;0.9989957;0.9996498;0.9939805;9.636386;0.001488594;3.451932;20.42358;0.84777515;0.213896188;0.238799292;0.251723061;0.288378643;0;0.000305324;0.000113788
73;1;11/20/2015 15:41;231H0112;0.9970167;0.9980087;0.2782237;0.9976923;0.9994641;0.9922233;9.279395;0.002702913;5.97965;35.51808;0.815446471;0.221406672;0.258065597;0.25025558;0.270272151;0;0.001056336;0.000114941
74;1;11/20/2015 15:47;63321111;0.9789882;0.998271;0.5271391;0.9988502;0.9997212;0.992431;9.835897;0.002487757;2.109665;9.286098;0.863112409;0.252214151;0.203058106;0.177112387;0.290864594;0;7.29E-05;4.30E-05
75;1;11/20/2015 15:53;235H6112;0.9954153;0.9986002;0.358554;0.9993811;0.9996392;0.9956056;9.520429;0.001187962;3.750254;23.71989;0.845607326;0.202641971;0.209078556;0.22374725;0.303416891;0;0.000385936;6.50E-05
76;1;11/20/2015 16:07;806H9112;0.9926901;0.9959697;0.3365762;0.9979559;0.9993006;0.9909203;9.337199;0.003254942;2.609963;13.78286;0.825736364;0.189428476;0.215415059;0.255716331;0.318151793;0;0.00022191;0.000123787
77;1;11/20/2015 16:32;11423111;0.9960964;0.9993271;0.4993937;0.999509;0.9997379;0.9955193;10.35657;0.001105154;2.345243;14.06309;0.856389312;0.256093592;0.214075662;0.193530814;0.242287206;0;0.000119449;4.38E-05
78;1;11/20/2015 16:39;80256111;0.9956043;0.9986935;0.3201947;0.9994281;0.9997784;0.9952068;9.307076;0.001031212;3.297049;24.54121;0.847177059;0.218485475;0.257085895;0.272180853;0.249015915;0;0.000445947;0.000101622
79;1;11/20/2015 16:48;61301111;0.996177;0.9984645;0.6586685;0.9990472;0.9996897;0.9804026;9.789105;0.00200566;2.024673;12.69095;0.922484667;0.18589302;0.212705328;0.198670555;0.296848661;0;0.0001127;4.06E-05
80;1;11/20/2015 16:48;220K6113;0.9925482;0.9966604;0.3091892;0.9984927;0.999314;0.9839407;9.49227;0.002104634;2.993421;17.76612;0.832816724;0.214974775;0.213093337;0.214101778;0.35234916;0;0.000344446;9.55E-05
81;1;11/20/2015 16:53;43466231;0.9920461;0.9981298;0.5727922;0.9993051;0.9997702;0.9972272;10.20648;0.001330912;2.39153;14.85571;0.903835429;0.271796168;0.236873591;0.20208228;0.246110756;0;0.000194633;3.27E-05
82;1;11/20/2015 17:06;357T0211;0.9956903;0.9989223;0.853049;0.9994943;0.9998282;0.9968963;11.04774;0.0015045;1.119959;4.408141;0.940438151;0.189993908;0.132000567;0.071835399;0.2679348;0;1.48E-05;2.65E-05
83;1;11/20/2015 17:10;437T3232;0.9767974;0.9977356;0.4335906;0.9985601;0.9993502;0.993077;9.393238;0.003092036;1.152255;6.630637;0.877100196;0.165964757;0.1737243;0.190545504;0.363789753;0;5.11E-05;0.000180205
